Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-05,17:29:00,Falcon 9 Block 5,CRS-19,Active,67,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-12-06,08:18:00,Electron/Curie,Running Out Of Fingers,Active,7.5,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-12-06,09:34:00,Soyuz 2.1a,Progress MS-13 (74P),Active,17.42,Success
ExPace,"Taiyuan Satellite Launch Center, China",2019-12-07,02:55:00,Kuaizhou 1A,Jilin-1 Gaofen-02B,Active,5.8,Success
ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019-12-07,08:52:00,Kuaizhou 1A,HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,Active,5.8,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2019-12-11,08:54:00,Soyuz 2.1b/Fregat,Cosmos 2544,Active,25,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-12-11,09:55:00,PSLV-QL,RISAT 2BR1,Active,21,Success
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-12-11,17:55:00,New Shepard,NS-12,Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-12-16,07:22:00,Long March 3B/YZ-1,BeiDou-3 M19 & M20,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-17,00:10:00,Falcon 9 Block 5,JCSAT-18 / Kacific-1,Active,67,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-12-18,08:54:00,Soyuz ST-A/Fregat-M,"CSG-1, CHEOPS & Others",Active,30,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-12-20,03:22:00,Long March 4B,"CBERS-4A, ETRSS-1 & Others",Active,64.68,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2019-12-20,11:36:00,Atlas V N22,Starliner OFT,Active,0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-12-24,12:03:00,Proton-M/DM-3,Elektro-L nвЂ В­3,Active,65,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019-12-26,23:11:00,Rokot/Briz KM,"Gonets-M ???24, 25, 26 [block-15] & Blits-M1",Retired,41.8,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China",2019-12-27,12:45:00,Long March 5,Shijian-20,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-07,02:19:00,Falcon 9 Block 5,Starlink V1 L2,Active,67,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-01-07,15:20:00,Long March 3B/E,TJSW-5,Active,29.15,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-01-15,02:53:00,Long March 2D,Jilin-1 Wideband 01 & ??uSat-7/8,Active,29.75,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-01-16,03:02:00,Kuaizhou 1A,Yinhe-1,Active,5.8,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-01-16,21:05:00,Ariane 5 ECA,Eutelsat Konnect BB4A & GSAT-30,Active,200,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-01-19,15:30:00,Falcon 9 Block 5,Crew Dragon Inflight Abort Test,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-29,14:06:00,Falcon 9 Block 5,Starlink V1 L3,Active,67,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-01-31,02:56:00,Electron/Curie,Birds of a Feather / NROL-151,Active,7.5,Success
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-02-06,21:42:00,Soyuz 2.1b/Fregat,OneWeb #2,Active,25,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",2020-02-09,01:34:00,H-IIA 202,IGS-Optical 7,Active,90,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2020-02-09,15:48:00,Simorgh,Zafar 1,Active,0,Failure
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-02-10,04:03:00,Atlas V 411,Solar Orbiter,Retired,115,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020-02-15,20:21:00,Antares 230+,CRS NG-13,Active,85,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-02-17,15:05:00,Falcon 9 Block 5,Starlink V1 L4,Active,67,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-02-18,22:18:00,Ariane 5 ECA,JCSAT-17 & GEO-KOMPSAT 2B,Active,200,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-02-19,21:07:00,Long March 2D,XJS-C to F,Active,29.75,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2020-02-20,08:24:00,Soyuz 2.1a/Fregat-M,Meridian-M nвЂ В­19L,Active,23,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-03-07,04:50:00,Falcon 9 Block 5,CRS-20,Active,67,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-03-09,11:55:00,Long March 3B/E,Beidou-3 G2,Active,29.15,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China",2020-03-16,13:34:00,Long March 7A,XJY-6,Active,0,Failure
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-03-16,18:28:00,Soyuz 2.1b/Fregat-M,Cosmos 2545,Active,25,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-03-18,12:16:00,Falcon 9 Block 5,Starlink V1 L5,Active,67,Success
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-03-21,17:06:00,Soyuz 2.1b/Fregat,OneWeb #3,Active,25,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-03-24,03:43:00,Long March 2C,Yaogan-30-06,Active,30.8,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-03-26,20:18:00,Atlas V 551,AEHF 6,Active,153,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-09,08:05:00,Soyuz 2.1a,Soyuz MS-16,Active,17.42,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-04-09,11:46:00,Long March 3B/E,Nusantara Dua,Active,29.15,Failure
IRGC,"Launch Plateform, Shahrud Missile Test Site",2020-04-22,03:59:00,Qased,Noor 1,Active,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-04-22,19:30:00,Falcon 9 Block 5,Starlink V1 L6,Active,67,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-25,01:51:00,Soyuz 2.1a,Progress MS-14,Active,17.42,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-05-05,10:00:00,Long March 5B,Test Flight (New Crew Capsule),Active,,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-05-12,01:16:00,Kuaizhou 1A,Xingyun-2 01 (Wuhan) & 02,Active,5.8,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-05-17,13:14:00,Atlas V 501,OTV-6 (USSF-7),Retired,120,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan",2020-05-20,17:31:00,H-IIB,HTV-9,Retired,112.5,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-05-22,07:31:00,Soyuz 2.1b/Fregat-M,Cosmos 2546,Active,25,Success
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2020-05-25,19:50:00,LauncherOne,Demo Flight,Active,12,Failure
CASC,"Xichang Satellite Launch Center, China",2020-05-29,20:13:00,Long March 11,XJS-G and XJS-H,Active,5.3,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-05-30,19:22:00,Falcon 9 Block 5,SpaceX Demo-2,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-05-31,08:53:00,Long March 2D,Gaofen-9-02 & HEAD-4,Active,29.75,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-04,01:25:00,Falcon 9 Block 5,Starlink V1 L7,Active,67,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-06-10,18:31:00,Long March 2C,Haiyang-1D,Active,30.8,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-06-13,05:12:00,Electron/Curie,Don't stop me now!,Active,7.5,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-13,09:21:00,Falcon 9 Block 5,Starlink V1 L8 & SkySat 16 to 18,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-06-17,07:19:00,Long March 2D,"Gaofen-9 03, Pixing III A & HEAD-5",Active,29.75,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-06-23,01:43:00,Long March 3B/E,Beidou-3 G3,Active,29.15,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-30,20:10:00,Falcon 9 Block 5,GPS III SV03,Active,67,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-03,03:10:00,Long March 4B,Gaofen Duomo & BY-02,Active,64.68,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-07-04,21:19:00,Electron/Curie,Pics Or It Didn't Happen,Active,7.5,Failure
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-07-04,23:44:00,Long March 2D,Shiyan-6 02,Active,29.75,Success
IAI,"Pad 1, Palmachim Airbase, Israel",2020-07-06,01:00:00,Shavit-2,Ofek-16,Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-07-09,12:11:00,Long March 3B/E,Apstar-6D,Active,29.15,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-07-10,04:17:00,Kuaizhou 11,"Jilin-1 02E, CentiSpace-1 S2",Active,28.3,Failure
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2020-07-15,13:46:00,Minotaur IV,NROL-129,Active,46,Success
JAXA,"LA-Y1, Tanegashima Space Center, Japan",2020-07-19,21:58:00,H-IIA 202,Hope Mars Mission,Active,90,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-07-20,21:30:00,Falcon 9 Block 5,ANASIS-II,Active,67,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-07-23,04:41:00,Long March 5,Tianwen-1,Active,0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-07-23,14:26:00,Soyuz 2.1a,Progress MS-15,Active,17.42,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-25,03:13:00,Long March 4B,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",Active,64.68,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-07-30,11:50:00,Atlas V 541,Perseverance,Active,145,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020-07-30,21:25:00,Proton-M/Briz-M,Ekspress-80 & Ekspress-103,Active,65,Success
SpaceX,"Pad A, Boca Chica, Texas, USA",2020-08-04,23:57:00,Starship Prototype,150 Meter Hop,Active,0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-08-06,04:01:00,Long March 2D,Gaofen-9 04 & Q-SAT,Active,29.75,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-08-07,05:12:00,Falcon 9 Block 5,Starlink V1 L9 & BlackSky,Active,67,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-08-15,22:04:00,Ariane 5 ECA,"BSat 4b & Galaxy 30, MEV-2",Active,200,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-08-18,14:31:00,Falcon 9 Block 5,Starlink V1 L10 & SkySat 19 to 21,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-08-23,02:27:00,Long March 2D,"Gaofen-9 05, Tiantuo-5 & MTS",Active,29.75,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-08-30,23:18:00,Falcon 9 Block 5,SAOCOM 1B & Rideshares,Active,67,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2020-08-31,03:05:00,Electron/Photon,I CanвЂ™t Believe ItвЂ™s Not Optical,Active,0,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020-09-03,01:51:00,Vega,SSMS nВ°1 PoC,Active,37,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-09-03,12:46:00,Falcon 9 Block 5,Starlink V1 L11,Active,67,Success
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2020-09-04,07:30:00,Long March 2F/T,Experimental Spaceplane (CSSHQ),Active,0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-09-07,05:57:00,Long March 4B,Gaofen-11 02,Active,64.68,Success
Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2020-09-12,03:19:00,Rocket 3,Rocket 3.1,Active,2.5,Failure
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-09-12,05:02:00,Kuaizhou 1A,Jilin-1 High Resolution 02C,Active,5.8,Failure
CASC,"DeBo 3 Barge, Yellow Sea",2020-09-15,01:23:00,Long March 11H,Jilin-1 High Resolution 03,Active,5.3,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-09-21,05:40:00,Long March 4B,Haiyang 2C,Active,64.68,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-09-27,03:23:00,Long March 4B,Huanjing-2A & 2B,Active,64.68,Success
